id,name,position,salary,age,department,education_level,years_at_company,work_life_balance,job_satisfaction,performance_rating,left_company
84,Employee_84,Sales,54925,30,Finance,PhD,12,3,3,1,0
85,Employee_85,Engineer,126787,44,R&D,PhD,20,1,5,5,1
86,Employee_86,Engineer,123184,41,Marketing,High School,25,3,5,5,0
87,Employee_87,Engineer,60108,28,IT,Bachelors,30,5,3,4,0
88,Employee_88,Engineer,116515,52,R&D,PhD,15,3,2,2,0
89,Employee_89,HR,108258,51,HR,PhD,30,1,1,2,1
90,Employee_90,Manager,45355,54,Marketing,Masters,12,3,3,5,0
91,Employee_91,Manager,86069,43,R&D,High School,29,5,4,4,0
92,Employee_92,Engineer,134335,45,R&D,Bachelors,31,2,5,2,0
93,Employee_93,Manager,140854,27,Marketing,PhD,4,5,1,2,1
94,Employee_94,Manager,94471,39,HR,High School,11,3,1,4,0
95,Employee_95,Engineer,72705,27,HR,Bachelors,38,4,3,5,1
96,Employee_96,Manager,83909,28,R&D,PhD,36,3,4,1,0
97,Employee_97,Sales,128606,34,Finance,Bachelors,3,3,4,4,0
98,Employee_98,Analyst,93739,21,R&D,Bachelors,28,1,2,4,0
99,Employee_99,Analyst,116820,33,Marketing,High School,4,4,4,4,1
100,Employee_100,Engineer,127273,23,Marketing,High School,10,1,3,5,0
101,Employee_101,HR,63241,48,Marketing,Masters,29,1,1,5,0
102,Employee_102,Engineer,67414,58,HR,Masters,8,5,1,4,0
103,Employee_103,HR,90818,35,IT,Masters,27,2,4,2,0
104,Employee_104,Analyst,60895,56,Marketing,PhD,21,3,5,1,0
105,Employee_105,Engineer,132307,23,Marketing,Masters,10,4,2,3,0
106,Employee_106,Sales,102409,24,Finance,Bachelors,20,3,4,4,0
107,Employee_107,Manager,95324,25,Finance,High School,5,1,3,4,0
108,Employee_108,HR,106920,46,R&D,Bachelors,25,2,2,5,0
109,Employee_109,Manager,93555,45,R&D,High School,15,1,4,5,1
110,Employee_110,Manager,105453,30,R&D,High School,13,3,2,3,0
111,Employee_111,Engineer,62689,28,Marketing,Bachelors,34,5,5,5,1
112,Employee_112,Manager,104356,32,Finance,Bachelors,35,3,3,5,0
113,Employee_113,Sales,133011,23,R&D,PhD,21,1,4,2,0
114,Employee_114,Manager,48252,47,Finance,High School,1,4,1,1,0
115,Employee_115,Engineer,70844,43,Marketing,Masters,12,4,3,2,0
116,Employee_116,Sales,135687,60,Marketing,PhD,10,4,5,4,0
117,Employee_117,Analyst,145542,53,R&D,Masters,11,4,5,2,0
118,Employee_118,Manager,63365,34,Marketing,PhD,32,4,1,3,0
119,Employee_119,Engineer,46026,43,Marketing,High School,21,2,3,2,1
120,Employee_120,Analyst,138303,51,Finance,Bachelors,8,2,4,5,0
121,Employee_121,Analyst,68523,33,IT,Bachelors,6,5,1,3,0
122,Employee_122,HR,50482,32,HR,High School,16,4,4,3,0
123,Employee_123,Sales,88888,55,R&D,Bachelors,9,1,2,4,1
124,Employee_124,Manager,146968,38,IT,High School,37,1,4,4,0
125,Employee_125,Engineer,90110,41,R&D,High School,38,3,2,5,0
126,Employee_126,HR,130644,62,IT,High School,24,4,4,1,0
127,Employee_127,Sales,40493,21,Marketing,PhD,26,1,2,3,0
128,Employee_128,HR,96194,58,R&D,Bachelors,29,5,3,5,0
129,Employee_129,Sales,122001,61,IT,PhD,29,1,5,4,0
130,Employee_130,Sales,79767,62,HR,Masters,33,5,3,4,1
131,Employee_131,Manager,69550,29,Marketing,High School,32,4,1,1,0
132,Employee_132,Sales,53833,43,R&D,Bachelors,31,3,3,3,0
133,Employee_133,HR,42970,34,R&D,Masters,11,3,3,3,0
134,Employee_134,Sales,138315,31,IT,High School,22,2,5,5,0
135,Employee_135,Manager,135494,27,R&D,Masters,28,4,3,1,0
136,Employee_136,Manager,122681,51,Marketing,PhD,0,1,1,2,0
137,Employee_137,HR,141489,44,Finance,PhD,19,3,3,5,0
138,Employee_138,Analyst,89177,46,IT,Bachelors,9,5,3,3,0
139,Employee_139,Analyst,107342,50,HR,Masters,18,5,3,5,1
140,Employee_140,Sales,111200,54,R&D,Masters,22,1,3,5,0
141,Employee_141,Engineer,101501,58,Marketing,PhD,20,1,5,5,0
142,Employee_142,Sales,68900,25,R&D,PhD,34,4,5,5,0
143,Employee_143,HR,54126,25,HR,Bachelors,31,1,1,3,0
144,Employee_144,HR,110690,39,Marketing,High School,9,1,1,1,1
145,Employee_145,HR,127744,58,HR,Bachelors,1,1,1,1,0
146,Employee_146,HR,119303,48,Marketing,PhD,35,3,3,4,0
147,Employee_147,HR,125579,46,Finance,Bachelors,5,4,4,4,0
148,Employee_148,Manager,87994,62,Marketing,High School,16,1,3,2,0
149,Employee_149,Analyst,107061,43,HR,PhD,14,1,4,1,0
150,Employee_150,HR,139064,50,IT,High School,35,5,1,5,0
151,Employee_151,Engineer,56978,23,Finance,Bachelors,23,3,3,4,0
152,Employee_152,Engineer,96344,48,R&D,High School,39,1,1,5,1
153,Employee_153,Engineer,86648,53,Finance,PhD,28,3,5,2,0
154,Employee_154,Engineer,41055,62,Finance,PhD,13,4,1,1,0
155,Employee_155,Manager,115582,23,R&D,High School,1,4,3,3,0
156,Employee_156,Engineer,141387,25,Marketing,Bachelors,21,2,5,2,0
157,Employee_157,HR,121214,39,Finance,Bachelors,5,5,5,3,0
158,Employee_158,Sales,84876,62,Finance,Bachelors,8,2,4,1,0
159,Employee_159,Engineer,132160,21,IT,Bachelors,11,3,2,3,0
160,Employee_160,Manager,147954,58,IT,Masters,38,5,5,1,0
161,Employee_161,Manager,78725,29,HR,Masters,4,1,2,5,0
162,Employee_162,Engineer,45255,25,R&D,High School,39,5,1,2,0
163,Employee_163,Sales,114947,62,Marketing,Masters,0,5,1,5,1
164,Employee_164,Engineer,93380,54,Marketing,Masters,9,4,5,1,0
165,Employee_165,Manager,93333,57,HR,Masters,10,2,4,1,0
166,Employee_166,Analyst,82459,53,Marketing,High School,26,4,1,5,1
167,Employee_167,HR,76163,45,Marketing,Masters,22,4,2,5,0
168,Employee_168,Manager,73971,62,IT,Bachelors,19,2,5,5,1
169,Employee_169,Engineer,136771,49,Marketing,Bachelors,4,4,5,2,0
170,Employee_170,HR,105149,45,Marketing,High School,12,5,4,2,0
171,Employee_171,Engineer,124730,29,HR,High School,9,3,5,1,0
172,Employee_172,Engineer,59476,23,HR,High School,35,1,3,4,0
173,Employee_173,Analyst,108580,35,Finance,PhD,15,1,2,5,0
174,Employee_174,HR,145576,24,Marketing,Masters,6,4,3,3,0
175,Employee_175,HR,126593,58,Marketing,High School,31,2,3,3,1
176,Employee_176,Analyst,109050,40,Marketing,High School,24,5,2,3,1
177,Employee_177,Manager,115526,43,IT,High School,25,4,5,5,0
178,Employee_178,Engineer,144496,57,Marketing,Bachelors,35,5,5,4,0
179,Employee_179,Sales,149071,28,IT,High School,27,5,3,4,1
180,Employee_180,Engineer,47507,57,Finance,Bachelors,11,1,2,2,0
181,Employee_181,Engineer,110393,53,R&D,Bachelors,25,3,1,4,0
182,Employee_182,Manager,52118,53,Marketing,PhD,3,3,2,3,0
183,Employee_183,Engineer,90529,27,HR,High School,22,2,3,3,0
184,Employee_184,Analyst,108682,42,HR,PhD,39,3,2,5,0
185,Employee_185,Analyst,131937,25,Marketing,High School,23,4,2,2,0
186,Employee_186,HR,94176,35,IT,Masters,30,1,1,1,0
187,Employee_187,Sales,131713,41,HR,High School,29,1,4,2,0
188,Employee_188,Engineer,144060,45,HR,High School,2,5,4,1,0
189,Employee_189,Engineer,44414,37,Finance,High School,15,4,1,2,0
190,Employee_190,Manager,123030,27,Finance,High School,33,4,2,4,0
191,Employee_191,Analyst,125973,39,Finance,High School,37,5,3,2,0
192,Employee_192,Sales,102137,27,HR,High School,27,5,1,5,0
193,Employee_193,HR,43937,60,HR,PhD,6,1,4,1,0
194,Employee_194,Analyst,76731,44,Marketing,Masters,7,4,4,4,0
195,Employee_195,HR,126862,31,Marketing,PhD,6,3,1,4,0
196,Employee_196,Manager,78665,61,IT,Masters,36,3,2,2,0
197,Employee_197,Manager,114510,21,HR,PhD,6,1,5,4,0
198,Employee_198,Engineer,57500,52,Marketing,PhD,17,3,3,3,1
199,Employee_199,Sales,41750,60,Marketing,High School,38,3,5,3,0
200,Employee_200,HR,105018,64,Finance,PhD,20,4,3,3,0
201,Employee_201,Analyst,44027,22,Finance,Masters,33,4,5,2,0
202,Employee_202,Manager,149832,35,Finance,Bachelors,26,2,5,1,1
203,Employee_203,Engineer,45745,41,R&D,Masters,7,4,3,2,0
204,Employee_204,Engineer,101731,44,Marketing,PhD,33,2,3,5,0
205,Employee_205,HR,126984,37,Finance,Bachelors,17,4,4,4,0
206,Employee_206,Manager,147983,29,Finance,High School,11,5,2,3,0
207,Employee_207,Sales,68451,55,HR,Bachelors,21,4,2,2,1
208,Employee_208,Manager,133743,40,Finance,High School,39,2,4,2,0
209,Employee_209,HR,111474,39,HR,Masters,21,3,5,4,0
210,Employee_210,HR,101536,38,IT,Bachelors,7,4,3,2,0
211,Employee_211,Manager,52150,40,Finance,Bachelors,27,3,1,3,0
212,Employee_212,HR,53406,50,HR,Bachelors,31,3,5,4,0
213,Employee_213,Manager,59781,60,Finance,High School,10,4,2,1,0
214,Employee_214,Analyst,97417,21,IT,High School,20,4,3,3,0
215,Employee_215,Manager,143157,44,Finance,Masters,25,5,4,5,0
216,Employee_216,Manager,58325,44,HR,Masters,13,2,5,5,0
217,Employee_217,HR,108684,39,IT,PhD,14,4,1,4,0
218,Employee_218,HR,134415,50,IT,High School,13,3,5,3,1
219,Employee_219,Engineer,113469,46,IT,Masters,11,3,4,3,0
220,Employee_220,Engineer,49436,62,R&D,Bachelors,35,4,1,3,0
221,Employee_221,Analyst,57669,64,HR,Bachelors,2,2,5,5,0
222,Employee_222,Engineer,112010,58,R&D,Bachelors,6,3,4,4,0
223,Employee_223,Manager,116764,49,IT,Masters,38,5,5,5,0
224,Employee_224,HR,139074,33,R&D,Bachelors,0,3,3,2,0
225,Employee_225,Engineer,41843,24,Finance,Bachelors,38,2,5,1,0
226,Employee_226,Engineer,105609,37,R&D,High School,24,1,4,5,0
227,Employee_227,Analyst,90812,53,Marketing,High School,30,5,2,4,0
228,Employee_228,Analyst,56059,25,IT,Masters,21,5,4,5,0
229,Employee_229,Manager,126269,48,IT,High School,9,1,5,2,0
230,Employee_230,HR,80768,44,HR,PhD,17,5,3,2,0
231,Employee_231,Analyst,65395,37,Finance,Masters,12,5,2,2,0
232,Employee_232,Engineer,60202,59,HR,PhD,7,5,4,2,0
233,Employee_233,HR,53273,60,R&D,PhD,8,3,2,1,0
234,Employee_234,HR,88889,64,Marketing,Masters,14,3,3,3,1
235,Employee_235,Engineer,138635,31,Marketing,High School,7,4,1,2,1
236,Employee_236,Analyst,113048,32,Marketing,High School,32,4,2,1,0
237,Employee_237,Engineer,133767,33,Marketing,Masters,34,3,4,5,0
238,Employee_238,HR,128810,28,Finance,PhD,18,5,3,2,0
239,Employee_239,Sales,143235,21,R&D,Masters,29,2,4,5,0
240,Employee_240,Sales,85510,29,Marketing,Masters,8,1,3,5,0
241,Employee_241,Manager,127945,48,IT,Bachelors,18,4,4,4,1
242,Employee_242,Engineer,110649,22,R&D,Bachelors,25,5,3,1,0
243,Employee_243,Engineer,146723,34,Finance,PhD,0,4,5,1,0
244,Employee_244,Manager,42881,33,Marketing,High School,2,2,4,2,1
245,Employee_245,Manager,85913,22,Finance,Bachelors,33,5,3,2,1
246,Employee_246,Manager,124785,24,Marketing,Bachelors,24,3,1,2,0
247,Employee_247,HR,105037,32,IT,PhD,29,2,3,1,0
248,Employee_248,Engineer,102457,30,R&D,Masters,0,4,1,5,0
249,Employee_249,HR,75343,23,IT,Bachelors,17,5,2,5,1
250,Employee_250,Manager,102389,24,Marketing,High School,32,5,3,2,1
251,Employee_251,Engineer,118250,26,HR,PhD,8,1,2,5,0
252,Employee_252,HR,144489,43,R&D,Bachelors,6,1,2,2,0
253,Employee_253,HR,48656,25,Finance,PhD,29,1,5,3,0
254,Employee_254,Manager,45741,23,Marketing,Bachelors,12,3,3,5,0
255,Employee_255,Engineer,56661,30,IT,Bachelors,16,5,5,1,0
256,Employee_256,Manager,137091,63,HR,PhD,12,5,5,4,1
257,Employee_257,Engineer,68690,39,Marketing,High School,12,4,2,1,0
258,Employee_258,Sales,72833,34,Finance,High School,37,3,4,1,0
259,Employee_259,Analyst,142566,41,IT,Masters,36,1,2,4,0
260,Employee_260,Analyst,111240,63,R&D,Bachelors,9,5,2,2,0
261,Employee_261,Analyst,146898,48,HR,Masters,13,1,1,5,0
262,Employee_262,Manager,117711,41,Marketing,PhD,4,2,4,1,0
263,Employee_263,Sales,97141,56,Marketing,Masters,35,3,2,5,0
264,Employee_264,Engineer,118232,44,Marketing,PhD,34,1,4,4,0
265,Employee_265,HR,79023,58,Marketing,High School,22,3,1,4,0
266,Employee_266,Engineer,80209,37,IT,PhD,4,5,4,5,0
267,Employee_267,HR,133590,42,R&D,PhD,27,2,3,5,0
268,Employee_268,Engineer,126612,39,Finance,Masters,22,4,1,4,0
269,Employee_269,Sales,120522,30,HR,Bachelors,33,2,4,2,0
270,Employee_270,HR,54440,31,Marketing,Masters,30,3,5,5,0
271,Employee_271,Manager,47960,58,Marketing,High School,6,2,4,3,0
272,Employee_272,Engineer,62462,22,R&D,High School,6,5,1,3,0
273,Employee_273,Engineer,57821,53,R&D,High School,3,3,5,5,0
274,Employee_274,HR,97772,63,IT,Bachelors,31,3,4,1,0
275,Employee_275,Manager,67258,51,IT,Masters,27,5,4,4,0
276,Employee_276,Manager,132889,55,IT,PhD,3,1,1,2,0
277,Employee_277,Sales,128952,57,HR,PhD,38,4,5,3,0
278,Employee_278,Manager,102524,56,IT,Bachelors,7,2,5,3,0
279,Employee_279,Manager,62115,43,Marketing,High School,13,4,4,1,0
280,Employee_280,Manager,86433,56,IT,Bachelors,29,4,3,5,0
281,Employee_281,Analyst,130504,60,HR,PhD,2,5,1,1,0
282,Employee_282,Sales,128267,59,IT,High School,1,1,1,2,0
283,Employee_283,Engineer,128321,46,IT,Bachelors,9,4,2,5,0
284,Employee_284,HR,144933,45,Marketing,PhD,5,3,5,3,0
285,Employee_285,Engineer,119364,37,Marketing,PhD,6,1,5,3,0
286,Employee_286,Sales,110077,35,Marketing,Bachelors,15,5,2,4,0
287,Employee_287,HR,80644,57,IT,PhD,5,4,4,2,0
288,Employee_288,Sales,102643,24,Marketing,Masters,15,5,4,3,1
289,Employee_289,Manager,53311,42,R&D,Masters,26,2,1,1,0
290,Employee_290,HR,70531,37,Finance,High School,11,5,4,3,1
291,Employee_291,Manager,54588,42,Finance,Masters,21,3,3,1,0
292,Employee_292,Engineer,89416,37,Marketing,Masters,14,5,3,1,0
293,Employee_293,Engineer,52380,34,HR,Bachelors,21,1,3,5,0
294,Employee_294,HR,82645,34,Marketing,High School,34,2,2,5,1
295,Employee_295,HR,57818,37,Marketing,Bachelors,14,3,3,3,0
296,Employee_296,Sales,70857,28,IT,Bachelors,22,2,2,3,1
297,Employee_297,Sales,61711,54,HR,Masters,37,3,1,1,0
298,Employee_298,Manager,45097,46,Marketing,Masters,1,2,1,5,0
299,Employee_299,HR,68393,50,R&D,PhD,1,4,3,3,0
300,Employee_300,Engineer,62076,42,Finance,PhD,18,5,2,5,1
301,Employee_301,Sales,124274,36,R&D,High School,4,1,3,2,0
302,Employee_302,Sales,97609,50,R&D,Masters,3,1,4,1,1
303,Employee_303,Engineer,69317,36,R&D,PhD,27,4,2,5,0
304,Employee_304,Sales,144765,58,HR,Bachelors,17,2,2,3,0
305,Employee_305,Manager,98480,44,HR,Masters,39,5,2,1,0
306,Employee_306,HR,47044,56,HR,High School,30,4,2,4,0
307,Employee_307,Engineer,111033,55,Finance,High School,21,2,4,1,0
308,Employee_308,HR,95486,26,IT,Bachelors,10,5,3,2,0
309,Employee_309,Sales,95162,24,Marketing,PhD,15,2,1,1,0
310,Employee_310,Sales,119287,38,Marketing,Bachelors,3,1,5,5,0
311,Employee_311,Engineer,69882,26,IT,PhD,20,5,5,5,0
312,Employee_312,Manager,94078,46,Marketing,Masters,24,1,2,3,0
313,Employee_313,Analyst,98734,57,R&D,High School,19,1,2,3,0
314,Employee_314,Engineer,147608,47,Finance,PhD,7,5,1,1,0
315,Employee_315,Analyst,148730,61,Marketing,Bachelors,8,4,5,1,1
316,Employee_316,Analyst,83826,31,Finance,Masters,17,2,2,1,0
317,Employee_317,Manager,127985,58,IT,PhD,30,5,4,5,0
318,Employee_318,Analyst,84028,36,Marketing,Masters,34,1,5,5,1
319,Employee_319,Analyst,91331,39,Finance,Masters,29,2,4,4,0
320,Employee_320,Manager,138938,63,R&D,Bachelors,17,5,1,4,1
321,Employee_321,Analyst,72543,35,R&D,Bachelors,18,4,1,4,1
322,Employee_322,Analyst,69362,46,IT,Masters,23,5,5,3,1
323,Employee_323,Analyst,67315,61,HR,Masters,21,5,3,5,0
324,Employee_324,Engineer,67746,51,Marketing,PhD,13,3,5,1,0
325,Employee_325,Engineer,50057,39,R&D,Bachelors,18,2,4,1,0
326,Employee_326,Engineer,82915,44,R&D,PhD,28,5,3,4,0
327,Employee_327,Manager,61061,29,IT,High School,21,1,4,3,0
328,Employee_328,Sales,91370,43,R&D,PhD,29,1,4,3,0
329,Employee_329,Analyst,74157,24,Marketing,Masters,14,3,4,4,0
330,Employee_330,Analyst,51322,30,IT,High School,20,1,2,1,0
331,Employee_331,Manager,109812,29,Finance,PhD,25,5,3,3,0
332,Employee_332,Analyst,117842,39,IT,High School,35,2,2,2,0
333,Employee_333,Engineer,74017,35,Marketing,Bachelors,11,3,2,4,0
334,Employee_334,Sales,96792,54,Marketing,PhD,6,3,4,1,0
335,Employee_335,HR,67742,62,Finance,PhD,10,4,1,2,0
336,Employee_336,Analyst,137136,39,IT,Bachelors,38,4,5,5,0
337,Employee_337,Engineer,104808,41,Marketing,PhD,19,2,1,1,1
338,Employee_338,HR,57629,54,Marketing,High School,34,2,4,2,0
339,Employee_339,Sales,48245,37,Finance,Bachelors,3,3,5,5,0
340,Employee_340,HR,136950,38,HR,High School,1,5,5,3,0
341,Employee_341,Engineer,83870,37,IT,PhD,19,5,4,1,0
342,Employee_342,HR,135634,22,Marketing,PhD,19,4,2,1,0
343,Employee_343,Manager,104829,21,R&D,PhD,11,2,5,3,0
344,Employee_344,HR,50588,63,Finance,PhD,16,2,5,1,0
345,Employee_345,Analyst,40442,30,HR,High School,17,5,5,4,0
346,Employee_346,Analyst,145280,57,HR,PhD,39,4,5,2,0
347,Employee_347,Manager,142979,25,Finance,Bachelors,23,5,3,5,0
348,Employee_348,Engineer,117339,32,HR,Bachelors,7,5,2,5,0
349,Employee_349,Analyst,80721,56,Marketing,Masters,36,3,3,2,0
350,Employee_350,Sales,77145,51,HR,Bachelors,29,2,3,4,0
351,Employee_351,Analyst,50599,58,IT,Masters,19,3,4,1,1
352,Employee_352,Analyst,112594,29,R&D,Bachelors,22,3,2,3,0
353,Employee_353,Engineer,122742,64,Marketing,Bachelors,36,5,1,3,0
354,Employee_354,HR,117430,46,Finance,PhD,9,4,2,1,0
355,Employee_355,Analyst,42939,35,R&D,Bachelors,32,5,1,5,0
356,Employee_356,Manager,62149,36,Marketing,PhD,23,4,5,2,0
357,Employee_357,HR,106567,33,R&D,PhD,35,2,1,2,0
358,Employee_358,Sales,50208,45,HR,Bachelors,15,1,1,5,0
359,Employee_359,Engineer,106098,50,Finance,High School,27,2,1,2,0
360,Employee_360,Sales,149034,27,Finance,PhD,11,5,5,5,0
361,Employee_361,HR,89492,24,IT,Bachelors,19,4,5,4,0
362,Employee_362,HR,60951,63,HR,High School,17,1,3,1,0
363,Employee_363,HR,88920,60,IT,Bachelors,36,4,1,5,0
364,Employee_364,Sales,86766,58,IT,Bachelors,25,4,2,4,0
365,Employee_365,HR,97014,50,HR,High School,6,1,4,5,0
366,Employee_366,Sales,68351,30,Marketing,Bachelors,20,1,3,4,0
367,Employee_367,HR,124216,50,IT,PhD,31,2,1,4,1
368,Employee_368,Manager,89386,59,R&D,Masters,6,3,3,4,0
369,Employee_369,HR,127122,27,Marketing,Masters,22,1,1,1,0
370,Employee_370,Sales,49308,56,HR,Bachelors,19,3,1,5,0
371,Employee_371,Analyst,99252,55,Finance,Masters,19,3,3,5,0
372,Employee_372,HR,115145,44,Marketing,Masters,31,3,1,5,0
373,Employee_373,Analyst,135031,59,IT,Masters,25,3,1,4,0
374,Employee_374,Manager,123211,56,R&D,PhD,35,1,4,2,0
375,Employee_375,Engineer,68064,40,HR,PhD,23,4,2,2,1
376,Employee_376,Manager,93879,52,Finance,Masters,0,1,5,5,0
377,Employee_377,HR,48720,59,R&D,High School,27,1,4,2,0
378,Employee_378,Analyst,82940,46,Finance,High School,25,5,5,2,0
379,Employee_379,Analyst,119993,46,HR,High School,33,5,5,2,0
380,Employee_380,Sales,108475,56,Marketing,PhD,25,2,2,4,0
381,Employee_381,Analyst,87113,63,IT,PhD,35,3,4,5,0
382,Employee_382,Sales,88926,55,HR,PhD,4,3,1,5,0
383,Employee_383,Engineer,78203,63,R&D,PhD,1,5,2,3,0
384,Employee_384,HR,128901,55,Marketing,Masters,31,4,1,3,0
385,Employee_385,Sales,45392,32,Finance,PhD,33,2,1,2,0
386,Employee_386,Engineer,65905,53,Marketing,Masters,29,4,1,5,0
387,Employee_387,Analyst,113508,56,Marketing,High School,23,5,1,2,0
388,Employee_388,Analyst,90385,34,R&D,Masters,27,4,4,4,0
389,Employee_389,Engineer,70653,53,IT,High School,2,3,5,5,1
390,Employee_390,Analyst,131865,44,Marketing,PhD,9,5,5,4,1
391,Employee_391,Engineer,124720,35,Marketing,High School,5,4,4,4,1
392,Employee_392,Sales,54799,51,IT,High School,33,2,5,5,0
393,Employee_393,Sales,100103,37,IT,Masters,30,2,2,2,0
